,id,id_str,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status,default_profile,default_profile_image,has_extended_profile,name,bot
0,326119501,326119501,ShaneWallCTO,"Palo Alto, CA","@HP CTO, Global Head @HPLabs. Technology #futurist, passionate leader focused on #3dprinting, #cybersecurity, #drones, travel, and @FriendsNational",https://t.co/kOYgft1EXP,24177,2243,934,Wed Jun 29 12:08:24 +0000 2011,3576,True,4118,en,"{u'contributors': None, u'truncated': True, u'text': u'#AI is still at the early phases of becoming an integral part of the classroom. https://t.co/lrJ7tsBAXl #edtech\u2026 https://t.co/XGtt0IRbRP', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 1030167714596364289, u'favorite_count': 6, u'source': u'<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [{u'indices': [0, 3], u'text': u'AI'}, {u'indices': [104, 111], u'text': u'edtech'}], u'urls': [{u'url': u'https://t.co/lrJ7tsBAXl', u'indices': [80, 103], u'expanded_url': u'https://hpmegatrends.com/ai-in-education-the-effect-on-the-classroom-46c1b569babb', u'display_url': u'hpmegatrends.com/ai-in-educatio\u2026'}, {u'url': u'https://t.co/XGtt0IRbRP', u'indices': [113, 136], u'expanded_url': u'https://twitter.com/i/web/status/1030167714596364289', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 3, u'id_str': u'1030167714596364289', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Thu Aug 16 19:01:37 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None}",True,False,False,Shane Wall,0
1,331821111,331821111,geoffreyamoore,Silicon Valley,"Author, speaker, advisor, best known for Crossing the Chasm. Venture partner at MDV & Wildcat Venture Partners. Chairman emeritus Chasm Group & Chasm Institute",http://t.co/8dLrSlYqN5,11499,31,622,Fri Jul 08 19:28:48 +0000 2011,2906,False,2666,en,"{u'contributors': None, u'truncated': True, u'text': u'Most #productivity zone organizations take these things for granted and then wonder why their #budgets keep getting\u2026 https://t.co/wOKyA5a91Z', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 1030114591949422594, u'favorite_count': 1, u'source': u'<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [{u'indices': [5, 18], u'text': u'productivity'}, {u'indices': [94, 102], u'text': u'budgets'}], u'urls': [{u'url': u'https://t.co/wOKyA5a91Z', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1030114591949422594', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 2, u'id_str': u'1030114591949422594', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Thu Aug 16 15:30:31 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None}",True,False,False,Geoffrey Moore,0
2,378223565,378223565,sparker,SF / LA / NYC,"Napster, Plaxo, Facebook, Causes, Spotify & Airtime = https://t.co/pEfbUoDYae",https://t.co/OChMaSsvLB,409277,599,4925,Thu Sep 22 21:06:05 +0000 2011,30,True,511,en,"{u'contributors': None, u'truncated': False, u'text': u'RT @parkerici: Sean Parker changed the world by democratizing music. Now, he\u2019s changing the world through the Parker Institute for Cancer I\u2026', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 1022622967795134465, u'favorite_count': 0, u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 702942034399780864, u'indices': [3, 13], u'id_str': u'702942034399780864', u'screen_name': u'parkerici', u'name': u'Parker Institute'}], u'hashtags': [], u'urls': []}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 13, u'id_str': u'1022622967795134465', u'favorited': False, u'retweeted_status': {u'contributors': None, u'truncated': True, u'text': u'Sean Parker changed the world by democratizing music. Now, he\u2019s changing the world through the Parker Institute for\u2026 https://t.co/gyDJZv7AJT', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 1022544892986368000, u'favorite_count': 68, u'source': u'<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/gyDJZv7AJT', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1022544892986368000', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 13, u'id_str': u'1022544892986368000', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Thu Jul 26 18:11:15 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None}, u'geo': None, u'in_reply_to_user_id_str': None, u'lang': u'en', u'created_at': u'Thu Jul 26 23:21:29 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None}",False,False,False,Sean Parker,0
3,409530697,409530697,andrew_anagnost,San Francisco Bay Area,"Husband, Math Tutor, Frustrated Writer and CEO @autodesk (tweets are my own and are not intended to represent the views of my wife, children or employer)",https://t.co/gTJrYNniTX,3324,382,90,Thu Nov 10 21:37:10 +0000 2011,856,False,1574,en,"{u'contributors': None, u'truncated': False, u'text': u'Really? People stage manage functionality during product launch demos? Shocking. Definitely news to all of us. https://t.co/8SjYzXOiEO', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 1030085441062559749, u'favorite_count': 23, u'source': u'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/8SjYzXOiEO', u'indices': [111, 134], u'expanded_url': u'https://apple.news/ANazFV5GmQ-mk6hNgXEiK6g', u'display_url': u'apple.news/ANazFV5GmQ-mk6\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 1, u'id_str': u'1030085441062559749', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Thu Aug 16 13:34:41 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None}",True,False,False,Andrew Anagnost,0
4,427036400,427036400,LarsLuv,"San Francisco, CA",@Glidesf (7 years). Investor. Accepted $3.4B offer for labor of luv; SuccessFactors. GP Luv Ventures. Board partner a16z,,14584,1245,568,Sat Dec 03 01:14:09 +0000 2011,303,False,1167,en,"{u'contributors': None, u'truncated': True, u'text': u""Apparently my random music posts are a hit, well If this beauty doesn't move your whole body I don't know what will\u2026 https://t.co/Te3iK6M4LS"", u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 991035127038791680, u'favorite_count': 2, u'source': u'<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/Te3iK6M4LS', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/991035127038791680', u'display_url': u'twitter.com/i/web/status/9\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 0, u'id_str': u'991035127038791680', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Mon Apr 30 19:22:41 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None}",False,False,False,Lars Dalgaard,0
5,427900496,427900496,SueDHellmann,"Seattle, WA","CEO of @GatesFoundation, MD, MPH, Runner, #SFGiants",http://t.co/1QziwyWd1v,48754,619,772,Sun Dec 04 03:23:47 +0000 2011,5225,True,3451,en,"{u'contributors': None, u'truncated': True, u'text': u'Thanks @PeteCarroll and @Seahawks for hosting my team at #SeahawksCamp! It was great chatting us up on your\u2026 https://t.co/xpHYKn9vex', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 1030081624396816388, u'favorite_count': 17, u'source': u'<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 15876379, u'indices': [7, 19], u'id_str': u'15876379', u'screen_name': u'PeteCarroll', u'name': u'Pete Carroll'}, {u'id': 23642374, u'indices': [24, 33], u'id_str': u'23642374', u'screen_name': u'Seahawks', u'name': u'Seattle Seahawks'}], u'hashtags': [{u'indices': [57, 70], u'text': u'SeahawksCamp'}], u'urls': [{u'url': u'https://t.co/xpHYKn9vex', u'indices': [109, 132], u'expanded_url': u'https://twitter.com/i/web/status/1030081624396816388', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 1, u'id_str': u'1030081624396816388', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Thu Aug 16 13:19:31 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None}",False,False,False,Sue Desmond-Hellmann,0
6,435111357,435111357,GinniRometty,"Armonk, New York","Chief Executive Officer, IBM",http://t.co/UlEjIXN6e6,26213,0,668,Mon Dec 12 17:51:38 +0000 2011,0,False,0,en,,True,False,False,Ginni Rometty,0
7,508920282,508920282,LeukertB,Germany,Member of the Executive Board at SAP for Products & Innovation. Views are my own.,https://t.co/PKOK3TZeYS,14419,320,286,Wed Feb 29 14:57:23 +0000 2012,566,True,1447,en,"{u'contributors': None, u'truncated': False, u'text': u'RT @aliciatillman: What a morning with the incredible @AdaireFoxMartin to a standing room only @SAP Hudson Yards. Innovation, purpose, resp\u2026', u'is_quote_status': True, u'in_reply_to_status_id': None, u'id': 1029763007990124544, u'favorite_count': 0, u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'quoted_status_id': 1029754795614240769, u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 297666929, u'indices': [3, 17], u'id_str': u'297666929', u'screen_name': u'aliciatillman', u'name': u'Alicia Tillman'}, {u'id': 420126420, u'indices': [54, 70], u'id_str': u'420126420', u'screen_name': u'AdaireFoxMartin', u'name': u'Adaire Fox-Martin'}, {u'id': 76117579, u'indices': [95, 99], u'id_str': u'76117579', u'screen_name': u'SAP', u'name': u'SAP'}], u'hashtags': [], u'urls': []}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 19, u'id_str': u'1029763007990124544', u'favorited': False, u'retweeted_status': {u'contributors': None, u'truncated': True, u'text': u'What a morning with the incredible @AdaireFoxMartin to a standing room only @SAP Hudson Yards. Innovation, purpose,\u2026 https://t.co/dy6vbVat0j', u'is_quote_status': True, u'in_reply_to_status_id': None, u'id': 1029756140098342912, u'favorite_count': 53, u'source': u'<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', u'quoted_status_id': 1029754795614240769, u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 420126420, u'indices': [35, 51], u'id_str': u'420126420', u'screen_name': u'AdaireFoxMartin', u'name': u'Adaire Fox-Martin'}, {u'id': 76117579, u'indices': [76, 80], u'id_str': u'76117579', u'screen_name': u'SAP', u'name': u'SAP'}], u'hashtags': [], u'urls': [{u'url': u'https://t.co/dy6vbVat0j', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1029756140098342912', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 19, u'id_str': u'1029756140098342912', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Wed Aug 15 15:46:10 +0000 2018', u'quoted_status_id_str': u'1029754795614240769', u'in_reply_to_status_id_str': None, u'place': {u'full_name': u'Manhattan, NY', u'url': u'https://api.twitter.com/1.1/geo/id/01a9a39529b27f36.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'01a9a39529b27f36', u'name': u'Manhattan'}}, u'geo': None, u'in_reply_to_user_id_str': None, u'lang': u'en', u'created_at': u'Wed Aug 15 16:13:27 +0000 2018', u'quoted_status_id_str': u'1029754795614240769', u'in_reply_to_status_id_str': None, u'place': None}",False,False,True,Bernd Leukert,0
8,532406707,532406707,XboxP3,"Redmond, WA | Gamer Tag: P3","Head of Xbox  |  People don't buy what you do, they buy why you do it.",http://t.co/uEEzkf8C6r,539732,913,2359,Wed Mar 21 17:36:10 +0000 2012,369,True,8183,en,"{u'contributors': None, u'truncated': False, u'text': u'RT @XboxQwik: Did you know in the Game Pass twist with the Xbox dash (pic here), you can in-line install games right there in the Twist ins\u2026', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 1030152020139827200, u'favorite_count': 0, u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [{u'id': 93498250, u'indices': [3, 12], u'id_str': u'93498250', u'screen_name': u'XboxQwik', u'name': u'Mike Ybarra'}], u'hashtags': [], u'urls': []}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 85, u'id_str': u'1030152020139827200', u'favorited': False, u'retweeted_status': {u'contributors': None, u'truncated': True, u'text': u'Did you know in the Game Pass twist with the Xbox dash (pic here), you can in-line install games right there in the\u2026 https://t.co/t5qMdK6a5n', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 1030141928153600000, u'favorite_count': 464, u'source': u'<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/t5qMdK6a5n', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1030141928153600000', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 85, u'id_str': u'1030141928153600000', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'en', u'created_at': u'Thu Aug 16 17:19:09 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None}, u'geo': None, u'in_reply_to_user_id_str': None, u'lang': u'en', u'created_at': u'Thu Aug 16 17:59:15 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None}",False,False,False,Phil Spencer,0
9,562680597,562680597,leijun,beijing ,Founder and CEO of Xiaomi,https://t.co/w32QQ6vNld,26942,102,155,Wed Apr 25 04:50:20 +0000 2012,13,True,61,zh-cn,"{u'contributors': None, u'truncated': False, u'text': u'Xiaomi IPO https://t.co/GL0O3q5QLg', u'is_quote_status': False, u'in_reply_to_status_id': None, u'id': 1016188300757880833, u'favorite_count': 1153, u'source': u'<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>', u'retweeted': False, u'coordinates': None, u'entities': {u'symbols': [], u'user_mentions': [], u'hashtags': [], u'urls': [], u'media': [{u'expanded_url': u'https://twitter.com/leijun/status/1016188300757880833/photo/1', u'display_url': u'pic.twitter.com/GL0O3q5QLg', u'url': u'https://t.co/GL0O3q5QLg', u'media_url_https': u'https://pbs.twimg.com/media/Dho51mWUwAAiyI1.jpg', u'id_str': u'1016188258915500032', u'sizes': {u'small': {u'h': 680, u'resize': u'fit', u'w': 680}, u'large': {u'h': 2048, u'resize': u'fit', u'w': 2048}, u'medium': {u'h': 1200, u'resize': u'fit', u'w': 1200}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [11, 34], u'type': u'photo', u'id': 1016188258915500032, u'media_url': u'http://pbs.twimg.com/media/Dho51mWUwAAiyI1.jpg'}]}, u'in_reply_to_screen_name': None, u'in_reply_to_user_id': None, u'retweet_count': 137, u'id_str': u'1016188300757880833', u'favorited': False, u'geo': None, u'in_reply_to_user_id_str': None, u'possibly_sensitive': False, u'lang': u'tl', u'created_at': u'Mon Jul 09 05:12:25 +0000 2018', u'in_reply_to_status_id_str': None, u'place': None, u'extended_entities': {u'media': [{u'expanded_url': u'https://twitter.com/leijun/status/1016188300757880833/photo/1', u'display_url': u'pic.twitter.com/GL0O3q5QLg', u'url': u'https://t.co/GL0O3q5QLg', u'media_url_https': u'https://pbs.twimg.com/media/Dho51mWUwAAiyI1.jpg', u'id_str': u'1016188258915500032', u'sizes': {u'small': {u'h': 680, u'resize': u'fit', u'w': 680}, u'large': {u'h': 2048, u'resize': u'fit', u'w': 2048}, u'medium': {u'h': 1200, u'resize': u'fit', u'w': 1200}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [11, 34], u'type': u'photo', u'id': 1016188258915500032, u'media_url': u'http://pbs.twimg.com/media/Dho51mWUwAAiyI1.jpg'}]}}",True,False,True,leijun,0
